Date,Symbol,Cap,Sector,Snapshot_Price,RSI,Short_Term_Call,Medium_Term_Call,Long_Term_Call
2026-09-19,ADANIENT,Large Cap,Metals & Mining,3020.0,51.8,BUY,AVOID,INVESTABLE
2026-09-19,ADANIPORTS,Large Cap,Services,1824.0,64.3,BUY,BUY,INVESTABLE
2026-09-19,APOLLOHOSP,Large Cap,Healthcare,8944.5,57.0,BUY,BUY,INVESTABLE
2026-09-19,ASIANPAINT,Large Cap,Consumer Durables,2451.3,33.9,SELL,AVOID,AVOID
2026-09-19,AXISBANK,Large Cap,Financial Services,1257.0,52.1,BUY,BUY,AVOID
2026-09-19,BAJAJ-AUTO,Large Cap,Automobile and Auto Components,11414.0,42.3,SELL,AVOID,INVESTABLE
2026-09-19,BAJFINANCE,Large Cap,Financial Services,1040.3,45.6,SELL,AVOID,INVESTABLE
2026-09-19,BAJAJFINSV,Large Cap,Financial Services,1852.5,31.5,BUY,AVOID,AVOID
2026-09-19,BEL,Large Cap,Capital Goods,393.3,41.8,SELL,AVOID,AVOID
2026-09-19,BHARTIARTL,Large Cap,Telecommunication,1893.3,54.4,BUY,AVOID,AVOID
2026-09-19,CIPLA,Large Cap,Healthcare,1394.5,48.5,SELL,AVOID,INVESTABLE
2026-09-19,COALINDIA,Large Cap,Oil Gas & Consumable Fuels,409.9,45.6,SELL,AVOID,AVOID
2026-09-19,DRREDDY,Large Cap,Healthcare,1185.0,55.3,BUY,BUY,AVOID
2026-09-19,EICHERMOT,Large Cap,Automobile and Auto Components,7516.0,36.0,SELL,AVOID,INVESTABLE
2026-09-19,ETERNAL,Large Cap,Consumer Services,326.85,59.7,BUY,BUY,INVESTABLE
2026-09-19,GRASIM,Large Cap,Construction Materials,3209.2,43.5,SELL,AVOID,INVESTABLE
2026-09-19,HCLTECH,Large Cap,Information Technology,1249.3,44.3,SELL,AVOID,AVOID
2026-09-19,HDFCBANK,Large Cap,Financial Services,731.0,56.0,BUY,AVOID,AVOID
2026-09-19,HDFCLIFE,Large Cap,Financial Services,550.95,55.2,BUY,BUY,AVOID
2026-09-19,HINDALCO,Large Cap,Metals & Mining,986.5,44.1,SELL,AVOID,INVESTABLE
2026-09-19,HINDUNILVR,Large Cap,Fast Moving Consumer Goods,1932.0,36.9,SELL,AVOID,AVOID
2026-09-19,ICICIBANK,Large Cap,Financial Services,1338.9,30.4,BUY,AVOID,AVOID
2026-09-19,ITC,Large Cap,Fast Moving Consumer Goods,262.3,43.4,SELL,AVOID,AVOID
2026-09-19,INFY,Large Cap,Information Technology,1051.4,39.2,SELL,AVOID,AVOID
2026-09-19,INDIGO,Large Cap,Services,4920.0,42.9,SELL,AVOID,INVESTABLE
2026-09-19,JSWSTEEL,Large Cap,Metals & Mining,1275.6,47.2,SELL,AVOID,INVESTABLE
2026-09-19,JIOFIN,Large Cap,Financial Services,229.89,39.4,SELL,AVOID,AVOID
2026-09-19,KOTAKBANK,Large Cap,Financial Services,412.5,51.3,SELL,BUY,INVESTABLE
2026-09-19,LT,Large Cap,Construction,3885.0,41.8,SELL,AVOID,AVOID
2026-09-19,M&M,Large Cap,Automobile and Auto Components,3052.0,30.5,BUY,AVOID,AVOID
2026-09-19,MARUTI,Large Cap,Automobile and Auto Components,12103.0,25.2,BUY,AVOID,AVOID
2026-09-19,MAXHEALTH,Large Cap,Healthcare,1049.3,57.7,BUY,BUY,INVESTABLE
2026-09-19,NTPC,Large Cap,Power,323.65,36.3,SELL,AVOID,AVOID
2026-09-19,NESTLEIND,Large Cap,Fast Moving Consumer Goods,1372.4,35.1,SELL,AVOID,INVESTABLE
2026-09-19,ONGC,Large Cap,Oil Gas & Consumable Fuels,232.8,44.5,SELL,AVOID,AVOID
2026-09-19,POWERGRID,Large Cap,Power,270.3,52.2,BUY,AVOID,AVOID
2026-09-19,RELIANCE,Large Cap,Oil Gas & Consumable Fuels,1226.4,32.0,BUY,AVOID,AVOID
2026-09-19,SBILIFE,Large Cap,Financial Services,1731.0,48.0,HOLD,AVOID,AVOID
2026-09-19,SHRIRAMFIN,Large Cap,Financial Services,1010.0,39.7,SELL,AVOID,INVESTABLE
2026-09-19,SBIN,Large Cap,Financial Services,996.2,41.9,SELL,AVOID,AVOID
2026-09-19,360ONE,Mid Cap,Financial Services,1073.1,36.7,SELL,AVOID,AVOID
2026-09-19,3MINDIA,Mid Cap,Diversified,34095.0,54.9,BUY,AVOID,INVESTABLE
2026-09-19,ACC,Mid Cap,Construction Materials,1259.7,43.4,SELL,AVOID,AVOID
2026-09-19,AIAENG,Mid Cap,Capital Goods,3973.3,35.5,SELL,AVOID,AVOID
2026-09-19,APLAPOLLO,Mid Cap,Capital Goods,2270.1,65.1,HOLD,BUY,INVESTABLE
2026-09-19,AUBANK,Mid Cap,Financial Services,1058.6,48.3,SELL,AVOID,INVESTABLE
2026-09-19,AWL,Mid Cap,Fast Moving Consumer Goods,186.98,46.4,SELL,AVOID,AVOID
2026-09-19,ABBOTINDIA,Mid Cap,Healthcare,27270.0,63.0,BUY,BUY,INVESTABLE
2026-09-19,ATGL,Mid Cap,Oil Gas & Consumable Fuels,660.7,61.8,BUY,BUY,INVESTABLE
2026-09-19,ABCAPITAL,Mid Cap,Financial Services,410.05,56.8,BUY,BUY,INVESTABLE
2026-09-19,AJANTPHARM,Mid Cap,Healthcare,3563.6,54.3,BUY,BUY,INVESTABLE
2026-09-19,ALKEM,Mid Cap,Healthcare,5466.5,61.8,BUY,BUY,AVOID
2026-09-19,ANTHEM,Mid Cap,Healthcare,928.5,56.3,BUY,BUY,INVESTABLE
2026-09-19,APARINDS,Mid Cap,Capital Goods,18858.0,65.6,HOLD,BUY,INVESTABLE
2026-09-19,APOLLOTYRE,Mid Cap,Automobile and Auto Components,409.3,36.4,SELL,AVOID,AVOID
2026-09-19,ASHOKLEY,Mid Cap,Capital Goods,163.0,43.7,SELL,AVOID,AVOID
2026-09-19,ASTRAL,Mid Cap,Capital Goods,1427.7,42.5,SELL,AVOID,AVOID
2026-09-19,AUROPHARMA,Mid Cap,Healthcare,1734.0,63.2,BUY,BUY,INVESTABLE
2026-09-19,AIIL,Mid Cap,Financial Services,559.0,56.7,BUY,BUY,INVESTABLE
2026-09-19,BSE,Mid Cap,Financial Services,3266.4,43.4,SELL,AVOID,AVOID
2026-09-19,BAJAJHFL,Mid Cap,Financial Services,85.58,57.5,BUY,BUY,AVOID
2026-09-19,BALKRISIND,Mid Cap,Automobile and Auto Components,2265.3,50.2,SELL,AVOID,AVOID
2026-09-19,BANKINDIA,Mid Cap,Financial Services,140.0,45.7,SELL,AVOID,AVOID
2026-09-19,MAHABANK,Mid Cap,Financial Services,83.54,53.2,BUY,BUY,INVESTABLE
2026-09-19,BERGEPAINT,Mid Cap,Consumer Durables,458.65,32.8,BUY,AVOID,AVOID
2026-09-19,BDL,Mid Cap,Capital Goods,1196.6,40.7,SELL,AVOID,AVOID
2026-09-19,BHARATFORG,Mid Cap,Automobile and Auto Components,1962.1,44.5,SELL,AVOID,INVESTABLE
2026-09-19,BHEL,Mid Cap,Capital Goods,439.9,58.7,BUY,BUY,INVESTABLE
2026-09-19,BHARTIHEXA,Mid Cap,Telecommunication,1540.1,49.5,SELL,AVOID,AVOID
2026-09-19,GROWW,Mid Cap,Financial Services,191.76,45.9,SELL,AVOID,INVESTABLE
2026-09-19,BIOCON,Mid Cap,Healthcare,385.0,36.4,SELL,AVOID,AVOID
2026-09-19,BLUESTARCO,Mid Cap,Consumer Durables,1531.8,52.0,BUY,AVOID,AVOID
2026-09-19,CRISIL,Mid Cap,Financial Services,4577.5,47.5,SELL,BUY,INVESTABLE
2026-09-19,COCHINSHIP,Mid Cap,Capital Goods,1398.0,43.7,SELL,AVOID,AVOID
2026-09-19,COFORGE,Mid Cap,Information Technology,1841.0,49.9,SELL,BUY,INVESTABLE
2026-09-19,COLPAL,Mid Cap,Fast Moving Consumer Goods,1917.8,56.6,BUY,AVOID,AVOID
2026-09-19,CONCOR,Mid Cap,Services,504.55,50.8,SELL,AVOID,INVESTABLE
2026-09-19,COROMANDEL,Mid Cap,Chemicals,1999.5,56.3,BUY,AVOID,AVOID
2026-09-19,DABUR,Mid Cap,Fast Moving Consumer Goods,395.25,56.0,BUY,AVOID,AVOID
2026-09-19,DALBHARAT,Mid Cap,Construction Materials,1761.4,47.7,SELL,AVOID,AVOID
2026-09-19,ACMESOLAR,Small Cap,Power,435.25,67.0,HOLD,BUY,INVESTABLE
2026-09-19,AADHARHFC,Small Cap,Financial Services,461.65,42.3,SELL,AVOID,AVOID
2026-09-19,AARTIIND,Small Cap,Chemicals,491.15,46.1,SELL,AVOID,INVESTABLE
2026-09-19,AAVAS,Small Cap,Financial Services,1284.6,40.7,SELL,AVOID,AVOID
2026-09-19,ACE,Small Cap,Capital Goods,1229.2,70.3,SELL,BUY,INVESTABLE
